score,cat,signals,penalties,year,source,pmid,doi,journal,title,authors,first_pdate,abstract
17,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|cohort,MR,2025,MED,41036470,10.1177/25424823251384245,Journal of Alzheimer's disease reports,KIAA0319 modulates Alzheimer's disease risk through PMM2 regulation: Evidence from integrated pQTL-mediation and transcriptomic analyses.,"Wen P, Han C, Zhao H, Yao S, Chen H.",2025-01-01,"<h4>Background</h4>Genome-wide studies have identified multiple risk genes for Alzheimer's disease (AD), yet the causal protein interactions and pathways driving AD pathogenesis remain unclear.<h4>Objective</h4>This study aimed to assess the causal relationships between plasma proteins and AD risk, and to delineate protein-mediated regulatory pathways involved in AD pathogenesis.<h4>Methods</h4>We assessed the causal relationships between plasma proteins and AD risk using protein quantitative trait loci (pQTL) data from two large-scale resources: the UK Biobank Pharma Proteomics Project (UKB-P"
17,likely_primary,prot:abs|gwas:title|denovo-pqtl|platform,,2024,MED,38326779,10.1186/s12864-024-10065-z,BMC genomics,Sex-biased genetic regulation of inflammatory proteins in the Dutch population.,"Boahen CK, Abee H, Ponce IR, Joosten LAB, Netea MG, Kumar V.",2024-02-08,"<h4>Background</h4>Significant differences in immune responses, prevalence or susceptibility of diseases and treatment responses have been described between males and females. Despite this, sex-differentiation analysis of the genetic architecture of inflammatory proteins is largely unexplored. We performed sex-stratified meta-analysis after protein quantitative trait loci (pQTL) mapping using inflammatory biomarkers profiled using targeted proteomics (Olink inflammatory panel) of two population-based cohorts of Europeans.<h4>Results</h4>Even though, around 67% of the pQTLs demonstrated shared "
17,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|cohort,MR,2024,MED,39354406,10.1186/s12872-024-04209-y,BMC cardiovascular disorders,Exploration of protein and genetic targets causing atrioventricular block: mendelian-randomization analyses based on eQTL data and pQTL data.,"Wang T, Ma P, Wang X, Xia Y.",2024-10-01,<h4>Background</h4>Atrioventricular block (AVB) is a heterogeneous group of arrhythmias. AVB can lead to sudden arrest of the heart and subsequent syncope or sudden cardiac death. Few scholars have investigated the underlying molecular mechanisms of AVB. Finding molecular markers can facilitate understanding of AVB and exploration of therapeutic targets.<h4>Methods</h4>Two-sample Mendelian randomization (MR) analysis was undertaken with inverse variance weighted (IVW) model and Wald ratio as the primary approach. Reverse MR analysis was undertaken to identify the associated protein targets and
17,likely_primary,prot:title|gwas:title|denovo-pqtl|pqtl:title|cohort,MR,2024,MED,38809509,10.18632/aging.205867,Aging,Leveraging pQTL-based Mendelian randomization to identify new treatment prospects for primary biliary cholangitis and primary sclerosing cholangitis.,"Dai L, Ye Y, Mugaany J, Hu Z, Huang J, Lu C.",2024-05-27,"Primary biliary cholangitis (PBC) and primary sclerosing cholangitis (PSC) are autoimmune disorders characterized by progressive and chronic damage to the bile ducts, presenting clinicians with significant challenges. The objective of this study is to identify potential druggable targets to offer new avenues for treatment. A Mendelian randomization analysis was performed to identify druggable targets for PBC and PSC. This involved obtaining Cis-protein quantitative trait loci (Cis-pQTL) data from the deCODE database to serve as exposure. Outcome data for PBC (557 cases and 281,127 controls) an"
17,primary_pgwas?,prot:title|gwas:abs|platform|cohort|nproteins,,2023,PPR,,10.1101/2023.07.28.23293330,"{'publisher': 'medRxiv', 'yearOfPublication': 2023}","Identifying proteomic risk factors for cancer using prospective and exome analyses: 1,463 circulating proteins and risk of 19 cancers in the UK Biobank","Papier K, Atkins JR, Tong TY, Gaitskell K, Desai T, Ogamba CF, Parsaeian M, Reeves GK, Mills IG, Key TJ, Smith-Byrne K, Travis RC.",2023-08-05,"<h4>Background</h4> Proteins are essential for the development and progression of cancer and for the human body’s defense against tumor onset. The availability of a large panel of protein measurements and whole exome sequence data in the UK Biobank has enabled the simultaneous examination of plasma protein associations with risk across multiple cancer sites and their potential role in cancer etiology. <h4>Methods</h4> We investigated the associations of plasma proteins with incidence of 19 cancers and 9 cancer subsites in up to 44,645 middle-aged adults in the UK Biobank, who had measurements "
16,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,,2026,MED,41507467,10.1038/s41588-025-02421-w,Nature genetics,Linking the plasma proteome to genetics in individuals from continental Africa provides insights into type 2 diabetes pathogenesis.,"Soremekun O, Park YC, Tutino M, Arruda AL, Kalungi A, Rayner NW, Nyirenda M, Fatumo S, Zeggini E.",2026-01-08,"Individuals of African ancestry remain largely underrepresented in genetic and proteomic studies. Here we measure the levels of 2,873 proteins in plasma samples from 163 individuals with type 2 diabetes (T2D) or prediabetes and 362 normoglycemic controls from the Ugandan population. We identify 88 differentially expressed proteins between the two groups. We link genome-wide data to protein expression levels and construct a protein quantitative trait locus (pQTL) map for this population. We identify 399 independent associations with 346 (86.7%) cis-pQTLs and 53 (13.3%) trans-pQTLs; 16.7% of the"
16,likely_primary,prot:title|gwas:title|denovo-pqtl|cohort|nproteins,MR,2025,PPR,,10.1101/2025.03.18.25324169,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",Obesity- and age-dependent genetic regulation of the plasma proteome in children and adolescents,"Thielemann R, Stinson SE, Huang Y, Holm LA, Gräf JF, Rohde PD, Møller PL, Poggi AI, Anderson LV, Fonvig CE, Thiele M, Krag A, Rasmussen S, Holm J, Hansen T.",2025-03-19,"The genetic regulation of the plasma proteome has been extensively studied in adult populations, yet protein quantitative trait loci (pQTL) studies in children and adolescents remain largely unexplored. Here, we mapped pQTLs for 178 plasma proteins measured using affinity-based proteomics in 3,853 Danish children and adolescents (44.1% boys; median age of 11.6 years) from the HOLBAEK Study. We aimed to identify context-dependent pQTLs, where genetic variant-protein associations varied across biological contexts such as obesity, puberty, and sex. We further investigated pQTL variation across th"
16,likely_primary,prot:title|gwas:title|denovo-pqtl|cohort|nproteins,MR,2025,MED,40877285,10.1038/s41598-025-10031-z,Scientific reports,Identification and replication of sex-dimorphic protein quantitative trait loci across multiple ancestries and their associations with diseases.,"Bhak Y, Raptis V, He Y, Nakanishi T, Macdonald-Dunlop E, Sagiya Y, Morisaki T, Matsuda K, BioBank Japan Project, Japan COVID-19 Task Force, Kanai A, Suzuki Y, Oda Y, Kamatani Y, Namkoong H, Saiki R, Kimura A, Koike R, Ogawa S, Miyano S, Imoto S, Kanai T, Fukunaga K, Okada Y, Mälarstig A, Tenesa A.",2025-08-28,"Males and females exhibit differences in proteome profiles associated with disease risk. However, sex-dimorphic protein quantitative trait loci (SD-pQTL) and their effects on sex differences in health disorders have not been thoroughly investigated. We conducted a sex-stratified, genome-wide association study on 2,922 proteins using data from 30,272 individuals of Caucasian ancestry from the UK Biobank and compared the estimated effects on protein levels of these variants in the men and women to identify SD-pQTLs. The identified SD-pQTLs were replicated using data from two Japanese cohorts (co"
16,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,,2025,MED,40789849,10.1038/s41467-025-62463-w,Nature communications,European and African ancestry-specific plasma protein-QTL and metabolite-QTL analyses identify ancestry-specific T2D effector proteins and metabolites.,"Yang C, Gorijala P, Timsina J, Wang L, Liu M, Wang C, Brock W, Wang Y, Urano F, Sung YJ, Cruchaga C.",2025-08-11,"In this study, we generated and integrated plasma proteomics and metabolomics with the genotype datasets of over 2300 European (EUR) and 400 African (AFR) ancestries to identify ancestry-specific multi-omics quantitative trait loci (QTLs). In total, we mapped 954 AFR pQTLs, 2848 EUR pQTLs, 65 AFR mQTLs, and 490 EUR mQTLs. We further applied these QTLs to ancestry-stratified type-2 diabetes (T2D) risk to pinpoint key proteins and metabolites underlying the disease-associated genetic loci. Using INTACT that combined trait-imputation and colocalization results, we nominated 270 proteins and 72 me"
16,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,,2025,PPR,,10.1101/2025.09.21.25336297,"{'publisher': 'medRxiv', 'yearOfPublication': 2025}",CSF proteogenomics implicates novel proteins and humoral immunity in Alzheimer’s disease risk,"Wingo AP, Liu Y, Mei Z, Wang M, Vattathil SM, Gerasimov ES, Shantaraman A, Wu F, Duong DM, Fox EJ, Alzheimer’s Disease Neuroimaging Initiative, Bennett DA, Levey AI, Seyfried NT, Wingo TS.",2025-09-22,"Identifying causal genes at Alzheimer’s Disease (AD) GWAS loci requires tissue-relevant functional genomic data. Cerebrospinal fluid (CSF) interfaces directly with the brain and can be obtained from living individuals, providing a potential proxy for brain protein biology at scale; however, large-scale CSF proteogenomic studies have been limited to affinity-based platforms. Here, we used mass spectrometry to profile CSF proteins in 1,005 participants measuring 2,961 proteins, including 1,066 proteins not captured by other platforms. We mapped protein quantitative trait loci (pQTLs) in CSF, com"
16,likely_primary,prot:title|gwas:title|pqtl:title,,2025,MED,40426943,10.3390/biomedicines13051115,Biomedicines,"&lt;i&gt;DBI&lt;/i&gt; as a Novel Immunotherapeutic Candidate in Colorectal Cancer: Dissecting Genetic Risk and the Immune Landscape via GWAS, eQTL, and pQTL.","Tian T, Han H, Huang J, Ma J, Ran R.",2025-05-04,"<b>Background:</b> Colorectal cancer (CRC) is a leading cause of cancer-related mortality worldwide. Identifying drug targets associated with CRC is crucial for developing targeted therapies. <b>Methods:</b> MR (IVW, Wald ratio, weighted median, and MR-Egger) and SMR analyses were used to screen candidate genes associated with CRC risk. Further validation was performed using The Cancer Genome Atlas (TCGA) to assess gene expression patterns and prognostic significance. Additionally, immune infiltration analysis was conducted to characterize the tumor immune microenvironment. Drug prediction was"
16,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|cohort|nproteins,MR,2025,MED,40657554,10.1002/ggn2.202500003,"Advanced genetics (Hoboken, N.J.)",Proteome-Wide Mendelian Randomization Identifies Candidate Causal Proteins for Cardiovascular Diseases.,"Li C, De Jay N, Zhang SS, Fang X, Sharma S, Catalano KA, Sridharan V, Wang Z, Zhao L, Szustakowski JD, Chang CP, Maranville JC, Holzinger ER, Kvikstad EM.",2025-03-10,"Integration of human genomics and other omics across different ancestries provides novel, affordable, and systematic approach for target identification. We used Mendelian randomization approaches to unravel causal associations between 2,940 circulating proteins and 19 CVD. We found 218 proteins that impacted risk of one or more CVDs through forward MR (106 and 182 using cis-pQTLs only and cis- + trans-pQTLs, respectively), among which 107 were previously reported as associated with CVD or CVD-related traits. There were 102 proteins replicated (FDR < 5%, 53 with cis-pQTLs only and 88 with cis- "
16,likely_primary,prot:title|gwas:abs|denovo-pqtl|nproteins,,2024,MED,38627416,10.1038/s41597-024-03140-3,Scientific data,"TOPMed imputed genomics enhances genomic atlas of the human proteome in brain, cerebrospinal fluid, and plasma.","Yi H, Yang Q, Repaci C, Lee CM, Heo G, Timsina J, Gorijala P, Yang C, Budde J, Wang L, Cruchaga C, Sung YJ.",2024-04-16,"Comprehensive expression quantitative trait loci studies have been instrumental for understanding tissue-specific gene regulation and pinpointing functional genes for disease-associated loci in a tissue-specific manner. Compared to gene expressions, proteins more directly affect various biological processes, often dysregulated in disease, and are important drug targets. We previously performed and identified tissue-specific protein quantitative trait loci in brain, cerebrospinal fluid, and plasma. We now enhance this work by analyzing more proteins (1,300 versus 1,079) and an almost twofold in"
16,likely_primary,prot:title|gwas:abs|denovo-pqtl|platform|cohort|nproteins,MR,2026,MED,41789843,10.1167/iovs.67.3.14,Investigative ophthalmology & visual science,"Plasma Proteomic Dynamics Preceding Glaucoma Reveal a 15-Year Pre-Diagnostic Window: Causal Insights and Predictive Utility in 45,850 Participants.","Zhao Y, Wu J, Li C, Cheng Y, Li Q, Wu J, Sun Z, Zhang S, Wu J.",2026-03-01,"<h4>Purpose</h4>To characterize the temporal dynamics of plasma proteomic changes preceding glaucoma diagnosis, identify causal proteins, and evaluate their predictive utility for early detection.<h4>Methods</h4>We conducted a prospective cohort study of 45,850 UK Biobank participants without baseline glaucoma, followed for a median of 16.26 years. Plasma levels of 2920 proteins were measured using the Olink Explore 3072 platform. Cox proportional hazards models identified proteins associated with incident glaucoma. Mendelian randomization (MR) using cis- protein quantitative trait loci establ"
